"Gene","Gene.symbol"
"ENSG00000163995","ABLIM2"
"ENSG00000137198","GMPR"
"ENSG00000062582","MRPS24"
"ENSG00000179632","MAF1"
"ENSG00000122477","LRRC39"
"ENSG00000106992","AK1"
"ENSG00000100347","SAMM50"
"ENSG00000177479","ARIH2"
"ENSG00000130595","TNNT3"
"ENSG00000130560","UBAC1"
"ENSG00000188677","PARVB"
"ENSG00000130598","TNNI2"
"ENSG00000006576","PHTF2"
"ENSG00000163126","ANKRD23"
"ENSG00000213585","VDAC1"
"ENSG00000164591","MYOZ3"
"ENSG00000132388","UBE2G1"
"ENSG00000177752","YIPF7"
"ENSG00000188130","MAPK12"
"ENSG00000161896","IP6K3"
"ENSG00000136813","ECPAS"
"ENSG00000183571","PGPEP1L"
"ENSG00000112183","RBM24"
"ENSG00000111669","TPI1"
"ENSG00000004799","PDK4"
"ENSG00000170417","TMEM182"
"ENSG00000147123","NDUFB11"
"ENSG00000023228","NDUFS1"
"ENSG00000154358","OBSCN"
"ENSG00000256500","AL139300.1"
"ENSG00000137547","MRPL15"
"ENSG00000180992","MRPL14"
"ENSG00000180209","MYLPF"
"ENSG00000188176","SMTNL2"
"ENSG00000160050","CCDC28B"
"ENSG00000162614","NEXN"
"ENSG00000197321","SVIL"
"ENSG00000087884","AAMDC"
"ENSG00000187486","KCNJ11"
"ENSG00000234438","KBTBD13"
"ENSG00000130433","CACNG6"
"ENSG00000164122","ASB5"
"ENSG00000133454","MYO18B"
"ENSG00000156467","UQCRB"
"ENSG00000117479","SLC19A2"
"ENSG00000107758","PPP3CB"
"ENSG00000086967","MYBPC2"
"ENSG00000146926","ASB10"
"ENSG00000091482","SMPX"
"ENSG00000144644","GADL1"
"ENSG00000092607","TBX15"
"ENSG00000170242","USP47"
"ENSG00000167136","ENDOG"
"ENSG00000206422","LRRC30"
"ENSG00000102225","CDK16"
"ENSG00000133315","MACROD1"
"ENSG00000177238","TRIM72"
"ENSG00000214872","SMTNL1"
"ENSG00000145358","DDIT4L"
"ENSG00000121897","LIAS"
"ENSG00000183091","NEB"
"ENSG00000185271","KLHL33"
"ENSG00000144712","CAND2"
"ENSG00000170162","VGLL2"
"ENSG00000135972","MRPS9"
"ENSG00000096080","MRPS18A"
"ENSG00000119048","UBE2B"
"ENSG00000103035","PSMD7"
"ENSG00000125166","GOT2"
"ENSG00000158022","TRIM63"
"ENSG00000004776","HSPB6"
"ENSG00000101470","TNNC2"
"ENSG00000104848","KCNA7"
"ENSG00000120729","MYOT"
"ENSG00000115840","SLC25A12"
"ENSG00000106993","CDC37L1"
"ENSG00000159173","TNNI1"
"ENSG00000078668","VDAC3"
"ENSG00000115592","PRKAG3"
"ENSG00000135932","CAB39"
"ENSG00000180228","PRKRA"
"ENSG00000101019","UQCC1"
"ENSG00000132429","POPDC3"
"ENSG00000081189","MEF2C"
"ENSG00000075415","SLC25A3"
"ENSG00000163754","GYG1"
"ENSG00000228672","PROB1"
"ENSG00000135447","PPP1R1A"
"ENSG00000116898","MRPS15"
"ENSG00000248713","C4orf54"
"ENSG00000114062","UBE3A"
"ENSG00000070371","CLTCL1"
"ENSG00000185028","LRRC14B"
"ENSG00000178127","NDUFV2"
"ENSG00000188037","CLCN1"
"ENSG00000135766","EGLN1"
"ENSG00000146054","TRIM7"
"ENSG00000160299","PCNT"
"ENSG00000079785","DDX1"
"ENSG00000181016","LSMEM1"
"ENSG00000144596","GRIP2"
"ENSG00000166135","HIF1AN"
"ENSG00000132953","XPO4"
"ENSG00000138768","USO1"
"ENSG00000256053","COA8"
"ENSG00000172046","USP19"
"ENSG00000104131","EIF3J"
"ENSG00000165410","CFL2"
"ENSG00000160818","GPATCH4"
"ENSG00000182446","NPLOC4"
"ENSG00000173614","NMNAT1"
"ENSG00000136521","NDUFB5"
"ENSG00000164967","RPP25L"
"ENSG00000102683","SGCG"
"ENSG00000069869","NEDD4"
"ENSG00000127325","BEST3"
"ENSG00000146147","MLIP"
"ENSG00000136270","TBRG4"
"ENSG00000184544","DHRS7C"
"ENSG00000010256","UQCRC1"
"ENSG00000136842","TMOD1"
"ENSG00000108671","PSMD11"
"ENSG00000185105","MYADML2"
"ENSG00000156219","ART3"
"ENSG00000105953","OGDH"
"ENSG00000169021","UQCRFS1"
"ENSG00000110871","COQ5"
"ENSG00000168291","PDHB"
"ENSG00000164258","NDUFS4"
"ENSG00000067177","PHKA1"
"ENSG00000146729","NIPSNAP2"
"ENSG00000138663","COPS4"
"ENSG00000166289","PLEKHF1"
"ENSG00000048544","MRPS10"
"ENSG00000164879","CA3"
"ENSG00000107859","PITX3"
"ENSG00000182054","IDH2"
"ENSG00000112782","CLIC5"
"ENSG00000114030","KPNA1"
"ENSG00000138029","HADHB"
"ENSG00000062485","CS"
"ENSG00000170745","KCNS3"
"ENSG00000126602","TRAP1"
"ENSG00000185267","CDNF"
"ENSG00000184058","TBX1"
"ENSG00000105808","RASA4"
"ENSG00000267318","AC005702.1"
"ENSG00000134324","LPIN1"
"ENSG00000181929","PRKAG1"
"ENSG00000067225","PKM"
"ENSG00000136717","BIN1"
"ENSG00000125445","MRPS7"
"ENSG00000175826","CTDNEP1"
"ENSG00000224982","TMEM233"
"ENSG00000143632","ACTA1"
"ENSG00000173692","PSMD1"
"ENSG00000108825","PTGES3L-AARSD1"
"ENSG00000004142","POLDIP2"
"ENSG00000170807","LMOD2"
"ENSG00000161664","ASB16"
"ENSG00000147684","NDUFB9"
"ENSG00000165280","VCP"
"ENSG00000182606","TRAK1"
"ENSG00000101365","IDH3B"
"ENSG00000071282","LMCD1"
"ENSG00000133878","DUSP26"
"ENSG00000196218","RYR1"
"ENSG00000136143","SUCLA2"
"ENSG00000163319","MRPS18C"
"ENSG00000054654","SYNE2"
"ENSG00000006695","COX10"
"ENSG00000164896","FASTK"
"ENSG00000144357","UBR3"
"ENSG00000105393","BABAM1"
"ENSG00000115286","NDUFS7"
"ENSG00000165028","NIPSNAP3B"
"ENSG00000116459","ATP5PB"
"ENSG00000103994","ZNF106"
"ENSG00000165264","NDUFB6"
"ENSG00000104980","TIMM44"
"ENSG00000095209","TMEM38B"
"ENSG00000121851","POLR3GL"
"ENSG00000133055","MYBPH"
"ENSG00000171161","ZNF672"
"ENSG00000164309","CMYA5"
"ENSG00000167862","MRPL58"
"ENSG00000240654","C1QTNF9"
"ENSG00000138162","TACC2"
"ENSG00000188716","DUSP29"
"ENSG00000101210","EEF1A2"
"ENSG00000169184","MN1"
"ENSG00000118804","STBD1"
"ENSG00000121579","NAA50"
"ENSG00000158571","PFKFB1"
"ENSG00000136261","BZW2"
"ENSG00000137831","UACA"
"ENSG00000142453","CARM1"
"ENSG00000165775","FUNDC2"
"ENSG00000156253","RWDD2B"
"ENSG00000131174","COX7B"
"ENSG00000116221","MRPL37"
"ENSG00000040341","STAU2"
"ENSG00000166266","CUL5"
"ENSG00000198624","CCDC69"
"ENSG00000004961","HCCS"
"ENSG00000130005","GAMT"
"ENSG00000188807","TMEM201"
"ENSG00000065675","PRKCQ"
"ENSG00000169599","NFU1"
"ENSG00000204316","MRPL38"
"ENSG00000168427","KLHL30"
"ENSG00000175606","TMEM70"
"ENSG00000116688","MFN2"
"ENSG00000274180","NATD1"
"ENSG00000178741","COX5A"
"ENSG00000119013","NDUFB3"
"ENSG00000184787","UBE2G2"
"ENSG00000175262","C1orf127"
"ENSG00000162413","KLHL21"
"ENSG00000127184","COX7C"
"ENSG00000139180","NDUFA9"
"ENSG00000111245","MYL2"
"ENSG00000161057","PSMC2"
"ENSG00000158864","NDUFS2"
"ENSG00000197905","TEAD4"
"ENSG00000198546","ZNF511"
"ENSG00000184185","KCNJ12"
"ENSG00000112425","EPM2A"
"ENSG00000135469","COQ10A"
"ENSG00000179922","ZNF784"
"ENSG00000137177","KIF13A"
"ENSG00000006757","PNPLA4"
"ENSG00000072778","ACADVL"
"ENSG00000099957","P2RX6"
"ENSG00000176087","SLC35A4"
"ENSG00000213171","LINGO4"
"ENSG00000156265","MAP3K7CL"
"ENSG00000168333","PPDPFL"
"ENSG00000065978","YBX1"
"ENSG00000174032","SLC25A30"
"ENSG00000167863","ATP5PD"
"ENSG00000164654","MIOS"
"ENSG00000169288","MRPL1"
"ENSG00000145743","FBXL17"
"ENSG00000155313","USP25"
"ENSG00000165283","STOML2"
"ENSG00000143612","C1orf43"
"ENSG00000138435","CHRNA1"
"ENSG00000272573","MUSTN1"
"ENSG00000084090","STARD7"
"ENSG00000141905","NFIC"
"ENSG00000130159","ECSIT"
"ENSG00000163412","EIF4E3"
"ENSG00000167721","TSR1"
"ENSG00000067533","RRP15"
"ENSG00000102893","PHKB"
"ENSG00000140416","TPM1"
"ENSG00000105197","TIMM50"
"ENSG00000146066","HIGD2A"
"ENSG00000132768","DPH2"
"ENSG00000170276","HSPB2"
"ENSG00000205339","IPO7"
"ENSG00000091732","ZC3HC1"
"ENSG00000162494","LRRC38"
"ENSG00000080546","SESN1"
"ENSG00000119487","MAPKAP1"
"ENSG00000124532","MRS2"
"ENSG00000129152","MYOD1"
"ENSG00000096060","FKBP5"
"ENSG00000075702","WDR62"
"ENSG00000107263","RAPGEF1"
"ENSG00000105401","CDC37"
"ENSG00000068878","PSME4"
"ENSG00000141526","SLC16A3"
"ENSG00000198925","ATG9A"
"ENSG00000176909","MAMSTR"
"ENSG00000068024","HDAC4"
"ENSG00000135636","DYSF"
"ENSG00000117118","SDHB"
"ENSG00000121057","AKAP1"
"ENSG00000152234","ATP5F1A"
"ENSG00000167186","COQ7"
"ENSG00000156804","FBXO32"
"ENSG00000114867","EIF4G1"
"ENSG00000009335","UBE3C"
"ENSG00000182180","MRPS16"
"ENSG00000155463","OXA1L"
"ENSG00000186051","TAL2"
"ENSG00000135902","CHRND"
"ENSG00000132716","DCAF8"
"ENSG00000204219","TCEA3"
"ENSG00000174547","MRPL11"
"ENSG00000112339","HBS1L"
"ENSG00000130764","LRRC47"
"ENSG00000127774","EMC6"
"ENSG00000101306","MYLK2"
"ENSG00000110955","ATP5F1B"
"ENSG00000133112","TPT1"
"ENSG00000103353","UBFD1"
"ENSG00000104823","ECH1"
"ENSG00000072062","PRKACA"
"ENSG00000145391","SETD7"
"ENSG00000092203","TOX4"
"ENSG00000165637","VDAC2"
"ENSG00000178952","TUFM"
"ENSG00000170185","USP38"
"ENSG00000204568","MRPS18B"
"ENSG00000180182","MED14"
"ENSG00000150401","DCUN1D2"
"ENSG00000126777","KTN1"
"ENSG00000127824","TUBA4A"
"ENSG00000196792","STRN3"
"ENSG00000162520","SYNC"
"ENSG00000065427","KARS1"
"ENSG00000090263","MRPS33"
"ENSG00000148334","PTGES2"
"ENSG00000100284","TOM1"
"ENSG00000255112","CHMP1B"
"ENSG00000162461","SLC25A34"
"ENSG00000132612","VPS4A"
"ENSG00000170667","RASA4B"
"ENSG00000136404","TM6SF1"
"ENSG00000166592","RRAD"
"ENSG00000103423","DNAJA3"
"ENSG00000185669","SNAI3"
"ENSG00000274523","RCC1L"
"ENSG00000111832","RWDD1"
"ENSG00000091436","MAP3K20"
"ENSG00000138136","LBX1"
"ENSG00000108861","DUSP3"
"ENSG00000114738","MAPKAPK3"
"ENSG00000144674","GOLGA4"
"ENSG00000132305","IMMT"
"ENSG00000168872","DDX19A"
"ENSG00000126457","PRMT1"
"ENSG00000172403","SYNPO2"
"ENSG00000112992","NNT"
"ENSG00000166025","AMOTL1"
"ENSG00000167476","JSRP1"
"ENSG00000075785","RAB7A"
"ENSG00000183628","DGCR6"
"ENSG00000134020","PEBP4"
"ENSG00000178307","TMEM11"
"ENSG00000148377","IDI2"
"ENSG00000160097","FNDC5"
"ENSG00000102178","UBL4A"
"ENSG00000103932","RPAP1"
"ENSG00000139977","NAA30"
"ENSG00000143374","TARS2"
"ENSG00000214717","ZBED1"
"ENSG00000140740","UQCRC2"
"ENSG00000185414","MRPL30"
"ENSG00000100412","ACO2"
"ENSG00000085377","PREP"
"ENSG00000151148","UBE3B"
"ENSG00000133983","COX16"
"ENSG00000150768","DLAT"
"ENSG00000112651","MRPL2"
"ENSG00000196811","CHRNG"
"ENSG00000106244","PDAP1"
"ENSG00000182676","PPP1R27"
"ENSG00000184752","NDUFA12"
"ENSG00000088888","MAVS"
"ENSG00000160194","NDUFV3"
"ENSG00000129245","FXR2"
"ENSG00000175110","MRPS22"
"ENSG00000175084","DES"
"ENSG00000185915","KLHL34"
"ENSG00000086015","MAST2"
"ENSG00000160808","MYL3"
"ENSG00000070540","WIPI1"
"ENSG00000176340","COX8A"
"ENSG00000130779","CLIP1"
"ENSG00000136682","CBWD2"
"ENSG00000142507","PSMB6"
"ENSG00000058600","POLR3E"
"ENSG00000138095","LRPPRC"
"ENSG00000100442","FKBP3"
"ENSG00000130347","RTN4IP1"
"ENSG00000178209","PLEC"
"ENSG00000147853","AK3"
"ENSG00000153956","CACNA2D1"
"ENSG00000108528","SLC25A11"
"ENSG00000198796","ALPK2"
"ENSG00000165916","PSMC3"
"ENSG00000135940","COX5B"
"ENSG00000147124","ZNF41"
"ENSG00000185973","TMLHE"
"ENSG00000131730","CKMT2"
"ENSG00000131269","ABCB7"
"ENSG00000128313","APOL5"
"ENSG00000160783","PMF1"
"ENSG00000213965","NUDT19"
"ENSG00000141385","AFG3L2"
"ENSG00000033050","ABCF2"
"ENSG00000151806","GUF1"
"ENSG00000144741","SLC25A26"
"ENSG00000107404","DVL1"
"ENSG00000171421","MRPL36"
"ENSG00000177731","FLII"
"ENSG00000158828","PINK1"
"ENSG00000178982","EIF3K"
"ENSG00000164209","SLC25A46"
"ENSG00000177150","FAM210A"
"ENSG00000091140","DLD"
"ENSG00000183621","ZNF438"
"ENSG00000248746","ACTN3"
"ENSG00000048028","USP28"
"ENSG00000166343","MSS51"
"ENSG00000265491","RNF115"
"ENSG00000112276","BVES"
"ENSG00000036448","MYOM2"
"ENSG00000181817","LSM10"
"ENSG00000022840","RNF10"
"ENSG00000099875","MKNK2"
"ENSG00000109061","MYH1"
"ENSG00000182759","MAFA"
"ENSG00000103051","COG4"
"ENSG00000070182","SPTB"
"ENSG00000166407","LMO1"
"ENSG00000154153","RETREG1"
"ENSG00000099968","BCL2L13"
"ENSG00000184076","UQCR10"
"ENSG00000288646","AL031178.2"
"ENSG00000288654","AC119733.1"
"ENSG00000232196","MTRNR2L4"
"ENSG00000264424","MYH4"
"ENSG00000173153","ESRRA"
"ENSG00000204505","PRAMEF9"
"ENSG00000162409","PRKAA2"
"ENSG00000180758","GPR157"
"ENSG00000131791","PRKAB2"
"ENSG00000105711","SCN1B"
"ENSG00000166317","SYNPO2L"
"ENSG00000123124","WWP1"
"ENSG00000286095","SPEGNB"
"ENSG00000175591","P2RY2"
"ENSG00000169564","PCBP1"
"ENSG00000116871","MAP7D1"
"ENSG00000267855","NDUFA7"
"ENSG00000153531","ADPRHL1"
"ENSG00000135424","ITGA7"
"ENSG00000131828","PDHA1"
"ENSG00000111049","MYF5"
"ENSG00000172159","FRMD3"
"ENSG00000129749","CHRNA10"
"ENSG00000116604","MEF2D"
"ENSG00000170624","SGCD"
"ENSG00000107831","FGF8"
"ENSG00000104946","TBC1D17"
"ENSG00000155115","GTF3C6"
"ENSG00000132300","PTCD3"
"ENSG00000130706","ADRM1"
"ENSG00000117625","RCOR3"
"ENSG00000196850","PPTC7"
"ENSG00000178821","TMEM52"
"ENSG00000150779","TIMM8B"
"ENSG00000213639","PPP1CB"
"ENSG00000188026","RILPL1"
"ENSG00000133943","DGLUCY"
"ENSG00000161011","SQSTM1"
"ENSG00000095321","CRAT"
"ENSG00000072422","RHOBTB1"
"ENSG00000025800","KPNA6"
"ENSG00000005882","PDK2"
"ENSG00000073578","SDHA"
"ENSG00000145191","EIF2B5"
"ENSG00000204634","TBC1D8"
"ENSG00000130414","NDUFA10"
"ENSG00000160124","CCDC58"
"ENSG00000070159","PTPN3"
"ENSG00000197081","IGF2R"
"ENSG00000163395","IGFN1"
"ENSG00000139914","FITM1"
"ENSG00000166938","DIS3L"
"ENSG00000126778","SIX1"
"ENSG00000136861","CDK5RAP2"
"ENSG00000196465","MYL6B"
"ENSG00000169957","ZNF768"
"ENSG00000141564","RPTOR"
"ENSG00000138430","OLA1"
"ENSG00000112096","SOD2"
"ENSG00000116288","PARK7"
"ENSG00000145919","BOD1"
"ENSG00000122068","FYTTD1"
"ENSG00000186367","MINAR2"
"ENSG00000197375","SLC22A5"
"ENSG00000144306","SCRN3"
"ENSG00000149089","APIP"
"ENSG00000154723","ATP5PF"
"ENSG00000141030","COPS3"
"ENSG00000105220","GPI"
"ENSG00000152642","GPD1L"
"ENSG00000125656","CLPP"
"ENSG00000137094","DNAJB5"
"ENSG00000008441","NFIX"
"ENSG00000155008","APOOL"
"ENSG00000144909","OSBPL11"
"ENSG00000121022","COPS5"
"ENSG00000172239","PAIP1"
"ENSG00000087263","OGFOD1"
"ENSG00000138379","MSTN"
"ENSG00000156990","RPUSD3"
"ENSG00000101266","CSNK2A1"
"ENSG00000204152","TIMM23B"
"ENSG00000180818","HOXC10"
"ENSG00000135390","ATP5MC2"
"ENSG00000023734","STRAP"
"ENSG00000102763","VWA8"
"ENSG00000243147","MRPL33"
"ENSG00000180104","EXOC3"
"ENSG00000127540","UQCR11"
"ENSG00000189227","C15orf61"
"ENSG00000107372","ZFAND5"
"ENSG00000159199","ATP5MC1"
"ENSG00000184887","BTBD6"
"ENSG00000126249","PDCD2L"
"ENSG00000069998","HDHD5"
"ENSG00000111911","HINT3"
"ENSG00000079156","OSBPL6"
"ENSG00000005075","POLR2J"
"ENSG00000107262","BAG1"
"ENSG00000119414","PPP6C"
"ENSG00000166295","ANAPC16"
"ENSG00000143575","HAX1"
"ENSG00000187193","MT1X"
"ENSG00000241837","ATP5PO"
"ENSG00000106603","COA1"
"ENSG00000232388","SMIM26"
"ENSG00000286143","AC053503.6"
"ENSG00000173085","COQ2"
"ENSG00000259066","AL110118.1"
"ENSG00000107954","NEURL1"
"ENSG00000152137","HSPB8"
"ENSG00000119471","HSDL2"
"ENSG00000185104","FAF1"
"ENSG00000164900","GBX1"
"ENSG00000196182","STK40"
"ENSG00000105204","DYRK1B"
"ENSG00000120549","KIAA1217"
"ENSG00000165733","BMS1"
"ENSG00000240857","RDH14"
"ENSG00000066136","NFYC"
"ENSG00000176407","KCMF1"
"ENSG00000036672","USP2"
"ENSG00000173011","TADA2B"
"ENSG00000114480","GBE1"
"ENSG00000170035","UBE2E3"
"ENSG00000163166","IWS1"
"ENSG00000167393","PPP2R3B"
"ENSG00000197345","MRPL21"
"ENSG00000163607","GTPBP8"
"ENSG00000151729","SLC25A4"
"ENSG00000269955","FMC1-LUC7L2"
"ENSG00000135624","CCT7"
"ENSG00000020426","MNAT1"
"ENSG00000124523","SIRT5"
"ENSG00000120688","WBP4"
"ENSG00000198898","CAPZA2"
"ENSG00000163069","SGCB"
"ENSG00000178397","FAM220A"
"ENSG00000112319","EYA4"
"ENSG00000108094","CUL2"
"ENSG00000116667","C1orf21"
"ENSG00000250479","CHCHD10"
"ENSG00000173812","EIF1"
"ENSG00000130528","HRC"
"ENSG00000119689","DLST"
"ENSG00000137038","DMAC1"
"ENSG00000117054","ACADM"
"ENSG00000004779","NDUFAB1"
"ENSG00000129910","CDH15"
"ENSG00000237190","CDKN2AIPNL"
"ENSG00000166411","IDH3A"
"ENSG00000265354","TIMM23"
"ENSG00000142784","WDTC1"
"ENSG00000158796","DEDD"
"ENSG00000143436","MRPL9"
"ENSG00000128463","EMC4"
"ENSG00000137806","NDUFAF1"
"ENSG00000149596","JPH2"
"ENSG00000196275","GTF2IRD2"
"ENSG00000099624","ATP5F1D"
"ENSG00000173641","HSPB7"
"ENSG00000183576","SETD3"
"ENSG00000186687","LYRM7"
"ENSG00000184489","PTP4A3"
"ENSG00000067829","IDH3G"
"ENSG00000173442","EHBP1L1"
"ENSG00000134905","CARS2"
"ENSG00000108953","YWHAE"
"ENSG00000103264","FBXO31"
"ENSG00000213889","PPM1N"
"ENSG00000259494","MRPL46"
"ENSG00000144815","NXPE3"
"ENSG00000203705","TATDN3"
"ENSG00000019995","ZRANB1"
"ENSG00000173221","GLRX"
"ENSG00000172115","CYCS"
"ENSG00000125818","PSMF1"
"ENSG00000117640","MTFR1L"
"ENSG00000151366","NDUFC2"
"ENSG00000164919","COX6C"
"ENSG00000126091","ST3GAL3"
"ENSG00000183605","SFXN4"
"ENSG00000135018","UBQLN1"
"ENSG00000054118","THRAP3"
"ENSG00000100519","PSMC6"
"ENSG00000138796","HADH"
"ENSG00000025039","RRAGD"
"ENSG00000135617","PRADC1"
"ENSG00000008838","MED24"
"ENSG00000198574","SH2D1B"
"ENSG00000162104","ADCY9"
"ENSG00000163528","CHCHD4"
"ENSG00000132522","GPS2"
"ENSG00000170860","LSM3"
"ENSG00000099795","NDUFB7"
"ENSG00000184203","PPP1R2"
"ENSG00000159210","SNF8"
"ENSG00000131069","ACSS2"
"ENSG00000126524","SBDS"
"ENSG00000182512","GLRX5"
"ENSG00000078061","ARAF"
"ENSG00000076242","MLH1"
"ENSG00000176108","CHMP6"
"ENSG00000154174","TOMM70"
"ENSG00000100485","SOS2"
"ENSG00000164062","APEH"
"ENSG00000157500","APPL1"
"ENSG00000248098","BCKDHA"
"ENSG00000121671","CRY2"
"ENSG00000184220","CMSS1"
"ENSG00000205560","CPT1B"
"ENSG00000134375","TIMM17A"
"ENSG00000108788","MLX"
